ANNO       CAUSA_113                                                    NOME_CAUSA                     STATO                     DECESSI      RATE       MIO_VAL    CANC LOGICA
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    12345        169936     20         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Alabama      2703       17         true      
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Alaska       436        10         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Arizona      4184       14         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Arkansas     1625       19         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    California   13840      16         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Colorado     3037       16         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Connecticut  2078       17         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Delaware     608        18         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    District of Columbia 427        14         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Florida      13059      19         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Georgia      4712       20         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Hawaii       585        20         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Idaho        876        20         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Illinois     6019       14         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Indiana      3978       10         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Iowa         1536       15         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Kansas       1567       10         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Kentucky     3264       17         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Louisiana    2780       17         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Maine        990        10         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Maryland     2408       10         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Massachusetts 3821       20         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Michigan     5623       13         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Minnesota    2788       14         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Mississippi  1738       11         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Missouri     3776       12         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Montana      579        14         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Nebraska     811        19         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Nevada       1496       13         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    New Hampshire 907        19         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    New Jersey   4482       18         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    New Mexico   1460       20         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    New York     7687       10         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    North Carolina 5985       10         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    North Dakota 339        10         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Ohio         8971       19         false     
2017       "Accidents (unintentional injuries) (V01-X59                 Y85-Y86)"                      Unintentional injuries    Oklahoma     2563       13         false     
